brand,type,modelName,energyClass,power,area,price,imageOutdoorURL,imageIndoorURL,maxCoolingCapacity,maxHeatingCapacity,averagePower,entryCoolingPower,entryHeatingPower,airFlow,dehumidificationRate,noiseLevel,workingTemperatureFrom,workingTemperatureTo,indoorUnitMass,outdoorUnitMass,freon,outdoorUnitDimensionsX,outdoorUnitDimensionsY,outdoorUnitDimensionsZ,guarantee
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-12CH35AEVI R32,A++ (6.7/4.1),3517,40,33999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-12CH35AEVI R32.png,4466,4877,3517,1095,1117,500,1.2,37.5,-20,50,9.9,29.1,R32,800,554,333,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-12CH35AEVI R32 GOLD,A++ (6.7/4.1),3517,40,33999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-12CH35AEVI R32 GOLD.png,4466,4877,3517,1095,1117,500,1.2,37.5,-20,50,9.9,29.1,R32,800,554,333,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-09CH25AERI R32,A++ (7.1/4.0),2640,25,23999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-09CH25AERI R32.png,3195,3663,2640,703,731,1050,1,39,-20,50,7.3,27.2,R32,770,555,300,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-12CH35AERI R32,A++ (7.0/4.1),3520,35,27999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-12CH35AERI R32.png,4162,4777,3520,1089,1050,515,1.2,38,-20,50,8.2,26.5,R32,770,555,300,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-18CH50AERI R32,A++ (6.4/4.0),5280,60,39999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-18CH50AERI R32.png,6154,6800,5280,1547,1500,750,1.8,42,-20,50,10.8,37,R32,800,554,333,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-24CH70AERI R32,A++ (6.4/4.0),7327,75,52999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-24CH70AERI R32.png,8440,9437,7327,2402,2177,1050,2.4,46,-20,50,12.9,50,R32,845,702,363,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-12CH35AERI R32 GOLD,A++ (7.0/4.1),3520,35,28999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-12CH35AERI R32 GOLD.png,4162,4777,3520,1089,1050,539,1.2,38,-20,50,8.2,26.5,R32,770,555,300,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-12CH35AERI R32 SILVER,A++ (7.0/4.1),3520,35,28999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-12CH35AERI R32 SILVER.png,4162,4777,3520,1089,1050,515,1.2,38,-20,50,8.2,26.5,R32,770,555,300,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-12CH35AERI R32 SILVER MIRROR,A++ (7.0/4.1),3520,35,28999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-12CH35AERI R32 SILVER MIRROR.png,4162,4777,3520,1089,1050,515,1.2,38,-20,50,8.2,26.5,R32,770,555,300,36
VIVAX,INVERTER_SPLIT_SYSTEMS,ACP-09CH25AEMI R32,A++ (6.3/4.0),2638,25,16999,images\devices-images\outdoor\Vivax\Vivax-ACP-12CH35AEMI R32.png,images\devices-images\indoor\Vivax\Vivax - ACP-09CH25AEMI R32.png,3400,3370,2638,732,733,466,1,38.5,-15,50,7.6,23.2,R32,720,495,270,36
